_uf;_label;_level;inform_1safra;qtde_1safra;area_ha_1safra;inform_2safra;qtde_2safra;area_ha_2safra;confianca
AL;SERTÃO ALAGOANO;microrregiao;;15477.0;60264.0;865.0;393.0;1174.0;alta
AL;AGUA BRANCA s;municipio;;4019.0;10847.0;69.0;75.0;98.0;alta
AL;CANAPI;municipio;;3365.0;15636.0;748.0;307.0;32.0;alta
AL;DELMIRO GOUVEIA;municipio;;781.0;2921.0;43.0;;33.0;alta
AL;INHAPI;municipio;;2653.0;11311.0;;;;alta
AL;MATA GRANDE;municipio;;2901.0;11634.0;;;;alta
AL;OLHO D'AGUA DO CASADO;municipio;;759.0;2799.0;;;;alta
AL;PIRANHAS;municipio;1028.0;994.0;5113.0;;;;alta
AL;BATALHA;municipio;;15444.0;54427.0;30.0;;17.0;alta
AL;BATALHA;municipio;;63.0;200.0;;;;alta
AL;BELO MONTE;municipio;;228.0;916.0;;;;alta
AL;CARNEIROS;municipio;;842.0;2693.0;15.0;;;alta
AL;DOIS RIACHOS;municipio;;878.0;2992.0;;;;alta
AL;.JACARE DOS HOMENS;municipio;;35.0;148.0;;;;alta
AL;JARAMATAIA;municipio;;;11.0;;;;alta
AL;MAJOR IS I OORO;municipio;;390.0;1526.0;;;;alta
AL;,MARAVILHA;municipio;1593.0;1070.0;4113.0;2.0;;;alta
AL;MONTEIROPOLIS;municipio;;209.0;918.0;;;;alta
AL;OLHO O' AGUA DAS FLORES;municipio;;626.0;2388.0;;;;alta
AL;OLIVENÇA;municipio;1669.0;725.0;3085.0;;;;alta
AL;OURO BRANCO;municipio;1393.0;916.0;2584.0;;;;alta
AL;PALESTINA;municipio;;67.0;259.0;;;;alta
AL;PÃO DE AÇUCAR;municipio;;1505.0;4584.0;;;;alta
AL;POÇO DAS TRINCHEIRAS;municipio;;1174.0;4192.0;;;2.0;alta
AL;SANTANA DOIPANEMA;municipio;3013.0;1919.0;7230.0;;;;alta
AL;SÃO .JOSE DA TAPERA;municipio;;3154.0;11278.0;;;;alta
AL;SENADOR RUI PALMEIRA;municipio;;1630.0;5303.0;;;;alta
AL;PALMEIRA DOS INOIOS;municipio;;3374.0;18537.0;31.0;;15.0;alta
AL;CACIMBINHAS;municipio;;254.0;1725.0;;;;alta
AL;IGACI;municipio;;1343.0;6472.0;;;;alta
AL;MARIBONOO;municipio;;17.0;77.0;;;;alta
AL;MAR VERMELHO;municipio;;18.0;109.0;;;;alta
AL;MINADOR DO NEGRÃO;municipio;;262.0;1390.0;;;;alta
AL;PALMEIRA DOS INDIOS;municipio;;1042.0;6528.0;31.0;;15.0;alta
AL;PAULO JACINTO;municipio;;72.0;363.0;;;;alta
AL;QUEBRANGULO;municipio;;118.0;636.0;;;;alta
AL;TANQUE D' ARCA;municipio;;149.0;695.0;;;;alta
AL;ARAPIRACA;municipio;;3457.0;17487.0;19.0;;13.0;alta
AL;ANADIA;municipio;;33.0;112.0;;;;alta
AL;ARAPIRACA;municipio;;359.0;2102.0;;;;alta
AL;COITE DO NOIA;municipio;;188.0;1040.0;;;;alta
AL;CRAIBAS;municipio;;66.0;435.0;;;;alta
AL;FEIRA GRANDE;municipio;;227.0;1413.0;;;;alta
AL;GIRAU DO PONCIANO;municipio;;383.0;2069.0;;;;alta
AL;JUNQUEIRO;municipio;;224.0;797.0;;;;alta
AL;LAGOA DA CANOA;municipio;;31.0;115.0;;;;alta
AL;LIMOEIRO DE ANADIA;municipio;;738.0;2702.0;13.0;;9.0;alta
AL;OLHO D' AGUA GRANDE;municipio;;58.0;360.0;;;;alta
AL;SÃO BRAS;municipio;;15.0;118.0;;;;alta
AL;SÃO SEBASTIÃO;municipio;;274.0;1183.0;;;;alta
AL;MATA ALAGOANA;mesorregiao;2745.0;;307.0;;113.0;;alta
AL;MATA ALAGOANA;microrregiao;2518.0;;279.0;;105.0;;alta
AL;BRANQUINHA;municipio;18.0;;;;;;alta
AL;CAJUEIRO;municipio;;;;;;;alta
AL;CHÃ PRETA;municipio;408.0;;21.0;;30.0;;alta
AL;COLONIA LEOPOLDINA;municipio;;;;;;;alta
AL;IBATEGUARA;municipio;401.0;;11.0;;;;alta
AL;JACU IPE;municipio;23.0;;;;;;alta
AL;JOAQUIM GOMES;municipio;33.0;;;;;;alta
AL;NOVO LINO;municipio;;;;;;;alta
AL;PINDOBA;municipio;18.0;;;;;;alta
AL;SANTANA;municipio;176.0;;;;;;alta
