_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;val_8;val_9;val_10;val_11;confianca
BA;CORRENTI NÀ;municipio;896.0;29.0;52.0;30.0;43.0;;10.0;805.0;14.0;16.0;;baixa
BA;SANTA MARIA DA VITORIA;municipio;854.0;12.0;14.0;52.0;61.0;12.0;13.0;735.0;12.0;14.0;;baixa
BA;SANTANA;municipio;940.0;17.0;19.0;124.0;127.0;10.0;15.0;824.0;;14.0;;baixa
BA;SERRA DOURADA;municipio;495.0;;;25.0;28.0;14.0;14.0;478.0;;;;baixa
BA;BAIXO-MEDI O SÃO FRANCISCO;microrregiao;1110.0;134.0;156.0;386.0;403.0;158.0;200.0;1048.0;3238.0;3480.0;;baixa
BA;BARRA;municipio;90.0;26.0;41.0;38.0;47.0;37.0;57.0;66.0;220.0;1336.0;;baixa
BA;CAMPO ALEGRE DE LOUROES;municipio;136.0;;;29.0;29.0;;;133.0;;;;baixa
BA;CASA NOVA;municipio;571.0;33.0;36.0;24.0;24.0;42.0;46.0;557.0;123.0;131.0;;baixa
BA;IBOTIRAMA;municipio;73.0;;;38.0;38.0;21.0;25.0;64.0;478.0;513.0;;baixa
BA;MORPARA;municipio;27.0;;;16.0;18.0;;;27.0;28.0;29.0;;baixa
BA;PILÃO ARCADO;municipio;32.0;16.0;16.0;20.0;20.0;;;31.0;167.0;172.0;;baixa
BA;REMANSO;municipio;102.0;;;42.0;42.0;;;96.0;;;;baixa
BA;SENTO SE;municipio;15.0;;13.0;26.0;27.0;;;13.0;126.0;145.0;;baixa
BA;XIQUE-XIQUE;municipio;64.0;29.0;30.0;153.0;158.0;39.0;51.0;61.0;1089.0;1146.0;;baixa
BA;MEDIO SÃO FRANCISCO;microrregiao;5378.0;125.0;154.0;457.0;518.0;114.0;152.0;4989.0;1342.0;1483.0;;baixa
BA;BOM JESUS DA LAPA;municipio;3280.0;36.0;43.0;121.0;135.0;28.0;35.0;3120.0;947.0;1026.0;;baixa
BA;CAR I NHANHA;municipio;876.0;21.0;25.0;115.0;126.0;;17.0;804.0;16.0;19.0;;baixa
BA;MALHADA;municipio;533.0;66.0;84.0;208.0;243.0;51.0;73.0;424.0;95.0;121.0;;baixa
BA;PARATINGA;municipio;689.0;;;13.0;14.0;24.0;27.0;641.0;284.0;317.0;;baixa
BA;CHAPADA DIAMANTINA SETENTRIONAL;microrregiao;3132.0;252.0;277.0;1182.0;1242.0;1265.0;452.0;2995.0;11.0;13.0;;baixa
BA;BARRA DO MENDES;municipio;55.0;;;;;10.0;10.0;55.0;;;;baixa
BA;CAFARNAUM;municipio;158.0;23.0;25.0;37.0;38.0;30.0;33.0;156.0;;2.0;;baixa
BA;CANARANA;municipio;607.0;22.0;22.0;61.0;62.0;112.0;119.0;600.0;;;;baixa
BA;CENTRAL;municipio;168.0;;;74.0;75.0;77.0;80.0;163.0;;;;baixa
BA;GENTIO DO OURO;municipio;;;;15.0;17.0;;;;;;;baixa
BA;IBIPEBA;municipio;41.0;;;35.0;39.0;25.0;27.0;41.0;;;;baixa
BA;IBITITA;municipio;297.0;;;52.0;59.0;78.0;85.0;293.0;;;;baixa
BA;IRECE;municipio;1113.0;104.0;114.0;367.0;393.0;724.0;865.0;1031.0;;10.0;;baixa
BA;JUSSARA;municipio;157.0;;;53.0;55.0;45.0;49.0;153.0;;;;baixa
BA;MESORREG I ÔES, MI CRORREGIÕES;microrregiao;;;;;;;;;;;;baixa
BA;MORRO;microrregiao;137.0;57.0;62.0;218.0;228.0;81.0;99.0;129.0;;;;baixa
BA;PRESIDENTE OUTRA;microrregiao;188.0;14.0;20.0;82.0;88.0;35.0;35.0;171.0;;;;baixa
BA;SOUTO SOARES;microrregiao;73.0;;;52.0;52.0;15.0;16.0;72.0;;;;baixa
BA;UIBAI;microrregiao;138.0;;;130.0;130.0;33.0;34.0;131.0;;;;baixa
BA;CHAPADA DIAMANTINA MERIDIONAL;mesorregiao;9605.0;260.0;303.0;787.0;846.0;259.0;325.0;8618.0;26.0;32.0;;baixa
BA;ABAtRA;microrregiao;89.0;;;15.0;15.0;;;77.0;;;;baixa
BA;AGUA QUENTE;microrregiao;286.0;;;;;;;237.0;;;;baixa
BA;ANDARA(;microrregiao;13.0;13.0;13.0;34.0;35.0;15.0;21.0;11.0;;;;baixa
BA;BARRA DA ESTIVA;microrregiao;141.0;17.0;17.0;69.0;72.0;;;135.0;;;;baixa
BA;BONINAL;microrregiao;131.0;;;;;;;121.0;;;;baixa
BA;BOQUIRA;microrregiao;802.0;;;15.0;16.0;23.0;27.0;731.0;;;;baixa
BA;BOTUPORÃ;microrregiao;1823.0;;;21.0;21.0;16.0;16.0;1689.0;;;;baixa
BA;BROTAS OE MACAUBAS;microrregiao;64.0;;;18.0;18.0;;;64.0;;;;baixa
BA;CONTENDAS DO SINCORA;microrregiao;29.0;;;20.0;20.0;;;25.0;;;;baixa
BA;IBICOARA;microrregiao;37.0;19.0;21.0;44.0;55.0;22.0;34.0;31.0;;;;baixa
BA;(BIPITANGA;microrregiao;622.0;;;17.0;17.0;;;573.0;;;;baixa
BA;IBITIARA;microrregiao;198.0;;;13.0;14.0;;;192.0;;;;baixa
BA;IPUPIARA;microrregiao;;;;25.0;26.0;;;;;;;baixa
BA;IRAMAIA;microrregiao;;13.0;13.0;19.0;22.0;;;;;;;baixa
BA;IRAQUARA;microrregiao;56.0;;;30.0;30.0;12.0;12.0;52.0;;;;baixa
BA;ITAETE;microrregiao;16.0;;;43.0;45.0;;11.0;12.0;;;;baixa
BA;ITUAÇU;microrregiao;197.0;27.0;30.0;;;;6.0;154.0;;;;baixa
BA;JUSSIAPE;microrregiao;31.0;;;;;;;31.0;;;;baixa
BA;LENÇO IS;microrregiao;;;13.0;;13.0;;15.0;;;;;baixa
BA;MACAUBAS;microrregiao;1953.0;;;86.0;88.0;29.0;31.0;1688.0;;;;baixa
BA;MUCUGE;microrregiao;44.0;;;46.0;49.0;12.0;15.0;36.0;;;;baixa
BA;OLIVEIRA DOS BREJINHOS;microrregiao;386.0;;11.0;47.0;48.0;;;348.0;;;;baixa
BA;PALMEIRAS;microrregiao;;;;24.0;25.0;;;;;;;baixa
BA;PARAMIRIM;microrregiao;1562.0;;;10.0;10.0;15.0;17.0;397.0;;;;baixa
BA;PIATÃ;microrregiao;95.0;;;23.0;24.0;;;86.0;;;;baixa
BA;RIO DE CONTAS;microrregiao;300.0;;;13.0;13.0;;;253.0;;;;baixa
BA;RIO DO PIRES;microrregiao;432.0;;;11.0;11.0;;;408.0;;;;baixa
BA;SEABRA;microrregiao;127.0;;;42.0;44.0;11.0;14.0;119.0;;;;baixa
BA;TANHAÇU;microrregiao;140.0;18.0;18.0;37.0;41.0;11.0;12.0;121.0;;;;baixa
BA;UTINGA;microrregiao;11.0;45.0;67.0;26.0;39.0;26.0;41.0;;;;;baixa
BA;WAGNER;microrregiao;;;;18.0;22.0;;11.0;;;;;baixa
BA;SERRA GERAL DA BAHIA;mesorregiao;22217.0;302.0;323.0;1130.0;;399.0;443.0;18955.0;56.0;64.0;;baixa
BA;ARACATU;microrregiao;85.0;11.0;11.0;16.0;16.0;;;78.0;;;;baixa
BA;BRUMADO;microrregiao;514.0;26.0;26.0;46.0;46.0;14.0;14.0;473.0;;;;baixa
BA;CACULE;microrregiao;694.0;;;10.0;10.0;17.0;19.0;565.0;;;;baixa
BA;CAETITE;microrregiao;4228.0;22.0;22.0;73.0;76.0;16.0;18.0;3580.0;;10.0;;baixa
BA;CANDIBA;microrregiao;876.0;;;104.0;106.0;78.0;83.0;765.0;;;;baixa
BA;CONDEUBA;microrregiao;2292.0;;;16.0;19.0;;9.0;1893.0;;;;baixa
BA;CORDEIROS;microrregiao;589.0;;;;;;;469.0;2.0;;;baixa
BA;DOM BASILIO;microrregiao;69.0;;;;;;;63.0;;;;baixa
BA;GUANAMBI;microrregiao;1753.0;20.0;21.0;140.0;146.0;14.0;18.0;541.0;15.0;;;baixa
BA;IBIASSUCE;microrregiao;859.0;;;14.0;14.0;;;708.0;;;;baixa
BA;IGAPORÃ;microrregiao;425.0;;;83.0;89.0;30.0;34.0;364.0;;10.0;;baixa
BA;JACARACI;microrregiao;1096.0;;;;;;;924.0;;;;baixa
BA;LICINIO DE ALMEIDA;microrregiao;808.0;;;24.0;24.0;;;651.0;;;;baixa
BA;LIVRAMENTO DO BRUMADO;microrregiao;1232.0;;;;;28.0;30.0;1044.0;;;;baixa
BA;MALHADA DE PEDRAS;microrregiao;451.0;;;;;;;412.0;;;;baixa
BA;MORTUGABA;microrregiao;632.0;;;;;;;545.0;;;;baixa
BA;PALMAS DE MONTE ALTO;microrregiao;875.0;40.0;48.0;100.0;112.0;25.0;32.0;725.0;;;;baixa
BA;PINDAI;microrregiao;780.0;;;83.0;84.0;54.0;60.0;658.0;;;;baixa
BA;PIRIPA;microrregiao;496.0;2.0;;11.0;11.0;;;394.0;;;;baixa
BA;PRESIDENTE JANIO QUADROS;microrregiao;975.0;;;;;;;882.0;;;;baixa
BA;RIACHO DE SANTANA;microrregiao;;55.0;171.0;177.0;13.0;48.0;931.0;1068.0;;;;baixa
BA;RIO DO ANTONIO;microrregiao;;;;;12.0;12.0;706.0;757.0;;;;baixa
