_uf;_label;_level;estab_total;area_ha_total;estab_individual;area_ha_individual;estab_soc_condominio;area_ha_soc_condominio;confianca
RR;BONFIM;municipio;698.0;387.0;968.0;525.0;338.0;12300.0;alta
RR;CARACARAI;municipio;544.0;93.0;171.0;383.0;85.0;;alta
RR;MUCAJAI;municipio;604.0;105.0;546.0;596.0;98.0;6600.0;alta
RR;NORMANDIA;municipio;167.0;241.0;209.0;81.0;14.0;;alta
RR;SÃO JOÃO DA BALIZA;municipio;1455.0;158.0;768.0;404.0;6.0;;alta
RS;TOTAIS;total;197172.0;23821695.0;472531.0;20501930.0;15719.0;2251057.0;media
RS;PORTO ALEGRE;microrregiao;613.0;439923.0;8796.0;330975.0;420.0;;alta
RS;PORTO ALEGRE;municipio;613.0;439923.0;8796.0;330975.0;420.0;;alta
RS;ENCOSTA;microrregiao;76857.0;1203059.0;72965.0;1119142.0;2916.0;;media
RS;COLONIAL ENCOSTA DA SERRA GERAL;municipio;22905.0;301671.0;21513.0;305133.0;1069.0;;media
RS;COLONIAL DO BAIXO TAOUARI;municipio;21344.0;280955.0;20044.0;259367.0;1049.0;;media
RS;O CRUZEIRO DO SUL;mesorregiao;1362.0;13686.0;1293.0;12522.0;59.0;;media
RS;TOTAL;total;;;;;;;media
RS;DE E INDIVIDUAL;microrregiao;;;;;;;media
RS;ORDEM MUNJCIPIOS;mesorregiao;;;;;;;media
RS;LESTE RIO-GRANDENSE;municipio;;6262935.0;5209099.0;2931.0;592941.0;;media
RS;CAXIAS DO SUL;microrregiao;394772.0;16322.0;346888.0;374.0;38431.0;;alta
RS;VINICULTORA DE CAXIAS DO SUL;municipio;394772.0;16322.0;346888.0;374.0;38431.0;;alta
RS;U SÃO MARCOS;mesorregiao;19036.0;689.0;16823.0;26.0;1350.0;;media
RS;PLANALTO MERID. RIO GRANDE DO SUL;microrregiao;;;;;;;media
RS;COLONIAL;municipio;417820.0;17950.0;382074.0;731.0;23930.0;;media
RS;ILOPOLIS;mesorregiao;11335.0;519.0;10003.0;50.0;1251.0;;media
RS;COLONIAL DAS MISSÕES;municipio;927876.0;21132.0;855714.0;376.0;53763.0;;media
RS;CATUIPE;mesorregiao;65502.0;1836.0;60870.0;59.0;4449.0;;media
RS;COLONIAL DE SANTA ROSA;municipio;745369.0;52709.0;716417.0;1142.0;19938.0;;media
RS;ALECRIM;mesorregiao;2573.0;30105.0;2476.0;29311.0;58.0;;media
