_uf;_label;_level;estab_total;area_ha_total;inform_lav_permanente;area_ha_lav_permanente;inform_lav_temporaria;area_ha_lav_temporaria;inform_lav_temp_descanso;confianca
BA;XIQUE-XIQUE;microrregiao;4030.0;400145.0;85.0;440.0;3873.0;29316.0;102.0;baixa
BA;MEDI O SÃO FRANCISCO;microrregiao;17214.0;1339978.0;491.0;356.0;16683.0;121869.0;3535.0;baixa
BA;BOM JESUS DA LAPA;microrregiao;8635.0;665720.0;221.0;132.0;8424.0;45807.0;2134.0;baixa
BA;CAR I NHANHA;microrregiao;2505.0;257239.0;15.0;20.0;2352.0;12911.0;249.0;baixa
BA;MALHADA;microrregiao;2728.0;316414.0;167.0;127.0;654.0;49991.0;363.0;baixa
BA;PARATINGA;microrregiao;3346.0;100604.0;88.0;75.0;253.0;13158.0;789.0;baixa
BA;CHAPADA DIAMANTINA SETENTRIONAL;microrregiao;32426.0;1198336.0;2864.0;18999.0;31103.0;304608.0;;baixa
BA;BARRA DO MENDES;microrregiao;1903.0;157916.0;259.0;269.0;1791.0;6996.0;132.0;baixa
BA;CAFARNAUM;microrregiao;2364.0;44332.0;85.0;1152.0;2315.0;18156.0;;baixa
BA;CANARANA;microrregiao;3791.0;77956.0;157.0;1283.0;3701.0;29472.0;945.0;baixa
BA;CENTRAL;microrregiao;1564.0;27137.0;95.0;384.0;1553.0;16418.0;46.0;baixa
BA;GENTIO DO OURO;microrregiao;2480.0;65627.0;60.0;83.0;2250.0;6624.0;943.0;baixa
BA;IBIPEBA;microrregiao;2275.0;81756.0;38.0;145.0;2100.0;10755.0;34.0;baixa
BA;IBITITA;microrregiao;2344.0;36773.0;31.0;424.0;334.0;19526.0;90.0;baixa
BA;IRECE;microrregiao;6749.0;246909.0;251.0;997.0;6612.0;125416.0;494.0;baixa
BA;CIMENTOS MANTES MANTES MANTES;microrregiao;;;;;;;;baixa
BA;JUSSARA;mesorregiao;1130.0;;319.0;1095.0;15428.0;166.0;;baixa
BA;MORRO DO CHAPEU;mesorregiao;2698.0;;11778.0;2363.0;25052.0;535.0;;baixa
BA;PRESibENTE OUTRA;mesorregiao;1473.0;;270.0;1463.0;11223.0;21.0;;baixa
BA;SOUTO SOARES;mesorregiao;2103.0;;413.0;2028.0;8308.0;213.0;;baixa
BA;UIBAI;mesorregiao;1552.0;;475.0;1498.0;11229.0;119.0;;baixa
BA;CHAPADA DIAMANTINA MERIDIONAL;mesorregiao;65612.0;;47624.0;57491.0;195081.0;11849.0;;baixa
BA;ABAIRA;mesorregiao;1550.0;;893.0;1200.0;2714.0;226.0;;baixa
BA;AGUA QUENTE;mesorregiao;1002.0;;111.0;915.0;2126.0;36.0;;baixa
BA;ANDARA I;mesorregiao;2908.0;;343.0;2758.0;9639.0;254.0;;baixa
BA;BARRA DA ESTIVA;mesorregiao;1724.0;;7867.0;837.0;3356.0;193.0;;baixa
BA;BONINAL;mesorregiao;1621.0;;114.0;1452.0;3362.0;213.0;;baixa
BA;BOQUIRA;mesorregiao;3068.0;;33.0;2959.0;9697.0;226.0;;baixa
BA;BOTUPORÃ;mesorregiao;4756.0;;18.0;4588.0;15706.0;683.0;;baixa
BA;BROTAS DE MACAUBAS;mesorregiao;2639.0;;111.0;2558.0;6223.0;1189.0;;baixa
BA;CONTENDAS DO SINCORA;mesorregiao;662.0;;128.0;524.0;2596.0;155.0;;baixa
BA;(BICOARA;mesorregiao;1057.0;;6238.0;539.0;6934.0;93.0;;baixa
BA;(BIPITANGA;mesorregiao;2193.0;;71.0;2154.0;6269.0;693.0;;baixa
BA;IBITIARA;mesorregiao;4840.0;;94.0;3900.0;5888.0;788.0;;baixa
BA;IPUPIARA;mesorregiao;1141.0;;79.0;1092.0;4806.0;517.0;;baixa
BA;IRAMAIA;mesorregiao;1130.0;;657.0;885.0;5045.0;243.0;;baixa
BA;IRAQUARA;mesorregiao;2651.0;;1955.0;2172.0;7471.0;383.0;;baixa
BA;ITAETE;mesorregiao;1223.0;;113.0;1093.0;4977.0;500.0;;baixa
BA;ITUAÇU;mesorregiao;2092.0;;2984.0;770.0;8231.0;307.0;;baixa
BA;JUSSIAPE;mesorregiao;361.0;;138.0;966.0;2630.0;64.0;;baixa
BA;LENÇO IS;mesorregiao;307.0;;1749.0;273.0;895.0;23.0;;baixa
BA;MACAUBAS;mesorregiao;5538.0;;176.0;5356.0;17779.0;892.0;;baixa
