_uf;_label;_level;inform_bens;valor_bens_mil_cr;inform_investimentos;valor_investimentos_mil_cr;inform_financiamentos;valor_financiamentos_mil_cr;confianca
BA;CORIBE;microrregiao;224.0;714604.0;1384.0;18924.0;414.0;3888.0;baixa
BA;CORRENTINA;microrregiao;3947.0;595567.0;1419.0;11336.0;344.0;13396.0;baixa
BA;SANTA MARIA DA VITORIA;microrregiao;3368.0;585483.0;1679.0;19527.0;453.0;6832.0;baixa
BA;SANTANA;microrregiao;2985.0;457932.0;2386.0;14569.0;244.0;6530.0;baixa
BA;SERRA DOURADA;microrregiao;2883.0;435473.0;1069.0;247.0;10899.0;;baixa
BA;BAIXO-MEDI O SÃO FRANCISCO;microrregiao;39076.0;3464543.0;13204.0;67199.0;3352.0;;baixa
BA;BARRA;microrregiao;7527.0;686625.0;4122.0;34359.0;783.0;15341.0;baixa
BA;CAMPO ALEGRE DE LOURDES;microrregiao;3659.0;138389.0;1789.0;3678.0;556.0;14.0;baixa
BA;CASA NOVA;microrregiao;6896.0;310640.0;;;;;baixa
BA;IBOTIRAMA;microrregiao;1523.0;135094.0;599.0;722.0;157.0;854.0;baixa
BA;MORPARA;microrregiao;982.0;58092.0;491.0;2578.0;308.0;706.0;baixa
BA;PILÃO ARCADO s;microrregiao;5474.0;125014.0;1351.0;1619.0;418.0;678.0;baixa
BA;REMANSO;microrregiao;3960.0;144554.0;893.0;2793.0;363.0;672.0;baixa
BA;SENTO SE;microrregiao;5025.0;208886.0;808.0;7123.0;108.0;772.0;baixa
BA;XIOUE-XIOUE;microrregiao;4030.0;1657246.0;1032.0;6711.0;444.0;4308.0;baixa
BA;MEDI O SÃO FRANCISCO;microrregiao;214.0;;;;;;baixa
BA;BOM JESUS DA LAPA;microrregiao;8635.0;1119448.0;607.0;26755.0;1549.0;19781.0;baixa
BA;CAR I NHANHA, SOS;microrregiao;582954.0;1092.0;12067.0;272.0;3336.0;;baixa
BA;MALHADA;microrregiao;728.0;1314679.0;1011.0;38414.0;748.0;23319.0;baixa
BA;PARATINGA;microrregiao;3346.0;161655.0;1230.0;3401.0;393.0;1951.0;baixa
BA;CHAPADA DIAMANTINA SETENTRIONAL;microrregiao;32426.0;2433269.0;721.0;53156.0;4527.0;;baixa
BA;BARRA DO MENDES;microrregiao;1903.0;110130.0;206.0;715.0;74.0;281.0;baixa
BA;CAFARNAUM;microrregiao;2364.0;99775.0;691.0;2282.0;220.0;134.0;baixa
BA;CANARANA;microrregiao;3791.0;161169.0;908.0;4126.0;318.0;2135.0;baixa
BA;CENTRAL;microrregiao;1564.0;68286.0;242.0;910.0;354.0;;baixa
BA;GENTIO DO OURO;microrregiao;2480.0;40375.0;291.0;779.0;46.0;117.0;baixa
BA;IBIPEBA;microrregiao;2275.0;122185.0;213.0;1394.0;232.0;1191.0;baixa
BA;IBITITA;microrregiao;344.0;278077.0;177.0;1143.0;429.0;7951.0;baixa
BA;IRECE;microrregiao;6749.0;765947.0;;;;;baixa
BA;JUSSARA;microrregiao;1130.0;54010.0;139.0;1882.0;317.0;274.0;baixa
BA;MORRO DO CHAPEU;microrregiao;698.0;537948.0;1308.0;17166.0;661.0;192.0;baixa
BA;PRESIDENTE OUTRA;microrregiao;1473.0;67602.0;299.0;1521.0;308.0;1426.0;baixa
BA;SOUTO SOARES;microrregiao;2103.0;65819.0;486.0;17.0;137.0;645.0;baixa
BA;CHAPADA DIAMANTINA MERIDIONAL;microrregiao;5475641.0;;29288.0;167482.0;4737.0;;baixa
BA;ABAIRA;municipio;66638.0;;647.0;2259.0;39.0;;baixa
BA;AGUA QUENTE;municipio;49148.0;;865.0;2352.0;;;baixa
BA;ANDARAI;municipio;520533.0;;505.0;14510.0;250.0;;baixa
BA;BARRA DA ESTIVA;municipio;376477.0;;504.0;4519.0;205.0;;baixa
BA;BON I NAL;municipio;83742.0;;668.0;1270.0;43.0;;baixa
BA;BOQU IRA;municipio;118021.0;;1524.0;3777.0;175.0;;baixa
BA;BOTUPORÂ;municipio;207151.0;;2143.0;5863.0;439.0;;baixa
BA;BROTAS OE MACAUBAS;municipio;105350.0;;1022.0;2863.0;354.0;;baixa
BA;CONTENDAS;municipio;115.0;413.0;311.0;1671.0;59.0;;baixa
BA;IBICOARA;municipio;321167.0;;438.0;10723.0;134.0;;baixa
BA;IBIPITANGA;municipio;84452.0;;2016.0;3195.0;103.0;;baixa
BA;IBI TIARA;municipio;173359.0;;2838.0;7392.0;41.0;;baixa
BA;IPUPIARA;municipio;1141.0;674.0;489.0;301.0;290.0;322.0;baixa
BA;IRAMAIA;municipio;229894.0;;201.0;7466.0;174.0;;baixa
BA;I RAQUARA;municipio;104899.0;;852.0;2833.0;129.0;;baixa
BA;ITAETE;municipio;490633.0;;466.0;20100.0;140.0;;baixa
BA;ITUAÇU;municipio;181350.0;;777.0;5354.0;181.0;;baixa
BA;JUSSIAPE;municipio;84577.0;;1296.0;2523.0;77.0;;baixa
BA;LENÇO IS;municipio;82846.0;;77.0;4523.0;;;baixa
BA;MACAUBAS;municipio;259541.0;;2531.0;7967.0;527.0;;baixa
BA;MUCUGE;municipio;153092.0;;485.0;9371.0;68.0;;baixa
BA;OLIVEIRA DOS BREJINHOS;municipio;230460.0;;649.0;8684.0;139.0;;baixa
BA;PALMEIRAS;municipio;38703.0;;338.0;1188.0;10.0;;baixa
BA;PARAMIRIM;municipio;190278.0;;1327.0;5052.0;321.0;;baixa
BA;PIATÂ;municipio;140319.0;;1237.0;4548.0;41.0;;baixa
BA;RIO DE CONTAS;municipio;139304.0;;876.0;3237.0;273.0;;baixa
BA;RIO DO PIRES;municipio;93556.0;;1052.0;4251.0;108.0;;baixa
