_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;val_8;confianca
AM;TAPAUA;municipio;15.0;;;;;;;;baixa
AM;MADEIRA;microrregiao;30.0;;312.0;;31.0;;23.0;;baixa
AM;BORBA;municipio;116.0;;115.0;;27.0;;;;baixa
AM;HUMAITA;municipio;104.0;;104.0;;;;;;baixa
AM;MANICORE;municipio;76.0;;75.0;;4.0;;6.0;;baixa
AM;NOVO ARIPUANÃ;municipio;18.0;;18.0;;2.0;;3.0;;baixa
AM;RIO NEGRO;microrregiao;27.0;;22.0;;;;10.0;;baixa
AM;BARCELOS;municipio;;;;;;;;;baixa
AM;NOVO AIRÂO;municipio;;;;;;;2.0;;baixa
AM;SANTA ISABEL. DO RIO NEGRO;municipio;10.0;;10.0;;3.0;;1.0;;baixa
AM;SÃO GABRIEL DA CACHOEIRA;municipio;10.0;;;;;;2.0;;baixa
AM;SOLIMÕES-JAPURA;microrregiao;129.0;2.0;127.0;;;;17.0;;baixa
AM;ALVARÂES;municipio;24.0;;24.0;;;;;;baixa
AM;ANAMÃ;municipio;;;2.0;;;;;;baixa
AM;ANORI;municipio;11.0;10.0;;;;;;;baixa
AM;COAR(;municipio;13.0;;12.0;;;;;;baixa
AM;COOAJAS;municipio;34.0;;34.0;;;;1.0;;baixa
AM;JAPURA;municipio;;;1.0;;;;;;baixa
AM;MARAÂ;municipio;27.0;;27.0;;;;;;baixa
AM;TEFE;municipio;15.0;;15.0;;;;3.0;;baixa
AM;UARINI;municipio;2.0;;2.0;;;;;;baixa
AM;M-DIO AMAZONAS;microrregiao;371.0;80.0;333.0;647.0;877.0;1342.0;;;baixa
AM;AUTAZES;municipio;235.0;;233.0;22.0;6.0;126.0;;;baixa
AM;BARREIRINHA;municipio;642.0;;641.0;309.0;202.0;23.0;;;baixa
AM;BERURI;municipio;78.0;;77.0;50.0;63.0;;;;baixa
AM;BOA VISTA DO RAMOS;municipio;113.0;113.0;28.0;36.0;;;;;baixa
AM;CAAPIRANGA;municipio;;;4.0;;2.0;;;;baixa
AM;CAREIRO;municipio;1041.0;5.0;1038.0;145.0;230.0;321.0;;;baixa
AM;IRANDUBA;municipio;157.0;3.0;156.0;36.0;33.0;28.0;;;baixa
AM;ITACOATIARA;municipio;1129.0;;1129.0;325.0;789.0;180.0;;;baixa
AM;ITAPIRANGA;municipio;;;3.0;;;;;;baixa
AM;MANACAPURU;municipio;432.0;;432.0;274.0;356.0;62.0;;;baixa
AM;MANAQUIRI;municipio;115.0;;113.0;46.0;23.0;33.0;;;baixa
AM;MAUES;municipio;268.0;;265.0;26.0;70.0;57.0;;;baixa
AM;NHAMUNOA;municipio;86.0;;96.0;15.0;10.0;68.0;;;baixa
AM;NOVA OLIND DO NORTE;municipio;426.0;;426.0;92.0;354.0;36.0;;;baixa
AM;PARINTINS;municipio;521.0;519.0;82.0;17.0;183.0;2.0;;;baixa
AM;PRESIDENTE FIGUEIREDO;municipio;113.0;13.0;105.0;38.0;;22.0;;;baixa
AM;RIO PRETO DA EVA;municipio;170.0;11.0;167.0;28.0;;15.0;;;baixa
AM;SÃO SEBASTIÃO DO UATUMÃ;municipio;;;;;;3.0;;;baixa
AM;SILVES;municipio;78.0;;78.0;17.0;25.0;50.0;;;baixa
AM;URUCARA;municipio;78.0;;76.0;11.0;46.0;;;;baixa
AM;URUCURITUBA;municipio;500.0;;500.0;114.0;422.0;;;;baixa
AP;TOTAIS;total;315.0;22.0;307.0;134.0;100.0;48.0;17.0;95.0;alta
AP;AMAPA;mesorregiao;315.0;22.0;307.0;134.0;100.0;48.0;17.0;95.0;alta
