_uf;_label;_level;estab_total;inform_forca_total;inform_animal;inform_mecanica;inform_propria;inform_alugada;inform_outra_sem_decl;confianca
AM;SÃO SEBASTIÃO DO UATUMÃ;municipio;752.0;;;;;;;baixa
AM;SILVES;municipio;;812.0;;61.0;;;;baixa
AM;URUCARA;municipio;;976.0;;;;;;baixa
AM;URUCURITUBA;municipio;;1383.0;;163.0;;;;baixa
AP;TOTAIS;total;4816.0;114.0;23.0;99.0;58.0;52.0;38.0;alta
AP;AMAPA;mesorregiao;4816.0;114.0;23.0;99.0;58.0;52.0;38.0;alta
AP;MACAPA;microrregiao;3667.0;103.0;20.0;90.0;;50.0;33.0;alta
AP;MACAPA;municipio;2497.0;99.0;20.0;86.0;43.0;50.0;33.0;alta
AP;MAZAGÃO;municipio;1170.0;;;;;;;alta
AP;AMAPA E OIAPOQUE;microrregiao;1149.0;11.0;;;11.0;;;alta
AP;AMAPA;municipio;633.0;10.0;;;10.0;;4.0;alta
AP;CALÇOENE;municipio;217.0;;;;;;;alta
AP;OIAPOQUE;municipio;299.0;;;;;;;alta
BA;TOTAIS;total;739006.0;193591.0;145461.0;98689.0;95401.0;77429.0;46986.0;media
BA;OESTE BAIANO;microrregiao;300262.0;105788.0;86278.0;41856.0;63378.0;28769.0;30327.0;media
BA;CHAPADÕES DO ALTO RIO GRANDE;microrregiao;23844.0;3682.0;1758.0;1699.0;1719.0;731.0;;media
BA;ANGICAL;municipio;1942.0;45.0;19.0;31.0;25.0;19.0;13.0;media
BA;BAIANOPOLIS;municipio;1321.0;490.0;416.0;189.0;286.0;175.0;93.0;media
BA;BARREIRAS;municipio;2039.0;618.0;215.0;456.0;387.0;266.0;60.0;media
BA;BREJOLANDIA;municipio;1692.0;136.0;87.0;64.0;75.0;54.0;46.0;media
BA;CATOLANDIA;municipio;661.0;178.0;153.0;40.0;87.0;34.0;62.0;media
BA;COTEGIPE;municipio;1916.0;87.0;21.0;75.0;45.0;40.0;26.0;media
BA;CRISTOPOLIS;municipio;1570.0;212.0;197.0;42.0;161.0;35.0;37.0;media
BA;FORMOSA DO RIO PRETO;municipio;1622.0;138.0;27.0;123.0;65.0;81.0;73.0;media
BA;RIACHÃO DAS NEVES;municipio;2242.0;777.0;;775.0;57.0;658.0;81.0;media
BA;SANTA RITA DE CASSIA;municipio;3534.0;92.0;59.0;48.0;53.0;40.0;31.0;media
BA;SÃO DESIDERIO;municipio;3123.0;711.0;368.0;418.0;304.0;310.0;155.0;media
BA;TABOCAS DO BREJO VELHO;municipio;2182.0;198.0;191.0;12.0;154.0;;54.0;media
BA;CHAPADÕES DO RIO CORRENTE;municipio;18907.0;2507.0;2335.0;323.0;1925.0;304.0;621.0;media
BA;CANAPOLIS;municipio;1530.0;260.0;260.0;;220.0;;38.0;media
BA;cocos;municipio;1970.0;372.0;354.0;58.0;301.0;60.0;99.0;media
BA;CORIBE;municipio;2224.0;368.0;341.0;50.0;280.0;43.0;79.0;media
BA;CORRENTINA;municipio;3947.0;684.0;655.0;72.0;550.0;74.0;158.0;media
BA;SANTA MARIA DA VITORIA;municipio;3368.0;622.0;584.0;61.0;419.0;66.0;191.0;media
BA;SANTANA;municipio;2985.0;78.0;46.0;46.0;53.0;27.0;34.0;media
BA;SERRA DOURADA;municipio;2883.0;123.0;95.0;34.0;102.0;27.0;22.0;media
BA;BAIXO-MEDIO SÃO FRANCISCO;municipio;39076.0;7870.0;6642.0;1761.0;6069.0;1255.0;1107.0;media
BA;BARRA;municipio;7527.0;243.0;201.0;62.0;183.0;42.0;71.0;media
BA;CAMPO ALEGRE OE LOURDES;municipio;3659.0;617.0;565.0;143.0;432.0;119.0;156.0;media
BA;CASA NOVA;municipio;6896.0;4818.0;4591.0;420.0;4351.0;458.0;187.0;media
BA;IBOTIRAMA;municipio;1523.0;395.0;360.0;102.0;260.0;100.0;63.0;media
BA;MOR PARA;municipio;982.0;129.0;92.0;52.0;79.0;52.0;17.0;media
BA;PILÃO ARCADO;municipio;5474.0;171.0;154.0;85.0;79.0;84.0;33.0;media
BA;REMANSO;municipio;3960.0;603.0;552.0;72.0;499.0;36.0;109.0;media
BA;SENTO SE;municipio;5025.0;350.0;53.0;303.0;57.0;285.0;51.0;media
BA;XIQUE-XIQUE;municipio;4030.0;544.0;74.0;522.0;129.0;79.0;420.0;media
BA;MEDI O SÃO FRANCISCO;municipio;17214.0;4547.0;3862.0;1104.0;3042.0;813.0;1020.0;media
BA;BOM JESUS DA LAPA;municipio;8635.0;1848.0;1782.0;254.0;1506.0;201.0;241.0;media
BA;CARINHANHA;municipio;2505.0;232.0;136.0;137.0;123.0;97.0;61.0;media
BA;MALHADA;municipio;2728.0;660.0;146.0;601.0;234.0;386.0;188.0;media
BA;PARATINGA;municipio;3346.0;1807.0;1798.0;112.0;1179.0;129.0;530.0;media
BA;CHAPADA OIAMANTI NA SETENTRIONAL;municipio;32426.0;22224.0;13421.0;20559.0;559.0;9170.0;12438.0;media
BA;BARRA DO MENDES;municipio;1903.0;657.0;95.0;605.0;42.0;60.0;571.0;media
BA;CAFARNAUM;municipio;2364.0;1895.0;579.0;1651.0;497.0;1532.0;630.0;media
BA;CANARANA;municipio;3791.0;2873.0;2008.0;2691.0;1387.0;2585.0;125.0;media
BA;CENTRAL;municipio;1564.0;1374.0;929.0;1289.0;573.0;1089.0;233.0;media
BA;GENTIO DO OURO;municipio;2480.0;;;;;;;media
BA;IBIPEBA z;municipio;1852.0;1655.0;1403.0;689.0;61.0;749.0;;media
BA;IBITITA;municipio;2344.0;2318.0;2234.0;2282.0;933.0;128.0;2231.0;media
BA;IRECE;municipio;6749.0;6117.0;3245.0;5836.0;2443.0;177.0;5140.0;media
BA;JUSSARA;municipio;1130.0;880.0;704.0;730.0;607.0;452.0;433.0;media
BA;MORRO;municipio;2698.0;976.0;320.0;933.0;356.0;753.0;196.0;media
BA;PRESIDENTE OUTRA;municipio;1473.0;1341.0;795.0;1299.0;498.0;801.0;729.0;media
BA;ABA( RA;municipio;1550.0;394.0;393.0;21.0;237.0;53.0;120.0;media
BA;AGUA QUENTE;municipio;1002.0;534.0;534.0;45.0;287.0;46.0;246.0;media
BA;ANDARA I;municipio;2908.0;93.0;16.0;84.0;32.0;53.0;13.0;media
BA;BARRA DA ESTIVA;municipio;1724.0;763.0;548.0;409.0;422.0;375.0;77.0;media
BA;BONINAL;municipio;1621.0;172.0;110.0;98.0;64.0;97.0;21.0;media
BA;BOQUIRA;municipio;3068.0;1982.0;1962.0;189.0;1208.0;207.0;648.0;media
BA;BOTUPORÂ;municipio;4756.0;4058.0;4011.0;611.0;2397.0;633.0;1182.0;media
BA;BROTAS DE MACAUBAS;municipio;2639.0;368.0;332.0;98.0;256.0;119.0;70.0;media
BA;CONTENDAS DO SINCORA;municipio;662.0;195.0;175.0;55.0;119.0;59.0;55.0;media
BA;I BICOARA;municipio;1057.0;336.0;230.0;176.0;187.0;152.0;32.0;media
BA;(BIPITANGA;municipio;2193.0;1841.0;1835.0;263.0;977.0;273.0;626.0;media
BA;IBITIARA;municipio;4840.0;418.0;400.0;32.0;332.0;36.0;88.0;media
BA;IPUPIARA;municipio;1141.0;159.0;83.0;118.0;48.0;116.0;;media
BA;IRAMAIA;municipio;1130.0;81.0;62.0;33.0;64.0;20.0;15.0;media
BA;IRAOUARA;municipio;2651.0;669.0;113.0;658.0;86.0;635.0;;media
