_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;confianca
BA;BONINAL;municipio;5251.0;;2405.0;2404.0;2163.0;baixa
BA;BOQUIRA;municipio;13100.0;;4511.0;6217.0;4146.0;baixa
BA;BOTUPORÂ;municipio;14649.0;;6803.0;6500.0;5616.0;baixa
BA;BROTAS DE MACAUBAS;municipio;8768.0;;4293.0;3747.0;3271.0;baixa
BA;CONTENDAS;municipio;3059.0;;1486.0;1300.0;1055.0;baixa
BA;(BICOARA;municipio;5035.0;;2938.0;1950.0;1873.0;baixa
BA;I BIPITANGA;municipio;8074.0;;3348.0;3889.0;3232.0;baixa
BA;IBITIARA;municipio;15420.0;;8482.0;6061.0;5571.0;baixa
BA;IPUPIARA;municipio;3194.0;;1810.0;1162.0;1046.0;baixa
BA;IRAMAIA;municipio;6002.0;;3236.0;104.0;1573.0;baixa
BA;IRAQUARA;municipio;1856.0;;5178.0;4268.0;;baixa
BA;ITAETE;municipio;4780.0;;2725.0;571.0;1245.0;baixa
BA;I TUAÇU;municipio;9559.0;;4268.0;4128.0;3195.0;baixa
BA;JUSS IAPE;municipio;4461.0;;2115.0;1820.0;1579.0;baixa
BA;LENÇO IS;municipio;;;;;;baixa
BA;MACAUBAS;municipio;17390.0;9895.0;7495.0;6567.0;;baixa
BA;MUCUGE;municipio;5022.0;;2812.0;971.0;820.0;baixa
BA;OLIVEIRA DOS BREJINHOS;municipio;11702.0;;6698.0;4021.0;3439.0;baixa
BA;PALMEIRAS;municipio;2013.0;;946.0;827.0;642.0;baixa
BA;PARAMIRIM;municipio;15762.0;;8016.0;5539.0;4277.0;baixa
BA;PIATÂ;municipio;13443.0;;6200.0;6161.0;5251.0;baixa
BA;RIO DE CONTAS;municipio;5364.0;;2936.0;2147.0;2000.0;baixa
BA;ao RIO DO PIRES;mesorregiao;5599.0;;2693.0;2425.0;2100.0;baixa
BA;SEABRA;municipio;10866.0;;5572.0;4528.0;4076.0;baixa
BA;TANHAÇU;municipio;10985.0;;5153.0;4426.0;3333.0;baixa
BA;UTINGA;municipio;8763.0;;3992.0;3594.0;2627.0;baixa
BA;WAGNER;municipio;1612.0;;788.0;594.0;441.0;baixa
BA;SERRA GERAL DA BAHIA;microrregiao;269195.0;161177.0;130334.0;108018.0;;baixa
BA;ARACATU;municipio;8600.0;;3705.0;3821.0;3027.0;baixa
BA;BRUMADO;municipio;12648.0;;6805.0;4629.0;4003.0;baixa
BA;CACULE;municipio;7385.0;;4381.0;2362.0;1937.0;baixa
BA;CAETITE;municipio;25693.0;15731.0;9962.0;8511.0;;baixa
BA;CANDIBA;municipio;7183.0;;3296.0;3016.0;2285.0;baixa
BA;CONDEUBA;municipio;12632.0;;6002.0;5459.0;4524.0;baixa
BA;CORDEIROS;municipio;4604.0;;2136.0;1947.0;1574.0;baixa
BA;DOM BAS ILI;municipio;4788.0;3048.0;2362.0;1260.0;;baixa
BA;GUANAMBI;municipio;16918.0;;8371.0;6797.0;5448.0;baixa
BA;IBIASSUCE;municipio;7150.0;5103.0;4570.0;1733.0;;baixa
BA;IGAPORÂ;municipio;7405.0;;3188.0;3092.0;2113.0;baixa
BA;JACARACI;municipio;10155.0;;4964.0;4237.0;3552.0;baixa
BA;LlCINIO DE ALMEIDA;municipio;5471.0;;3257.0;1811.0;559.0;baixa
BA;LIVRAMENTO DO BRUMADO;municipio;8315.0;6828.0;4747.0;3683.0;;baixa
BA;MALHADA DE PEDRAS;municipio;5004.0;;2410.0;2037.0;1683.0;baixa
BA;MORTUGABA. A;municipio;4315.0;;2444.0;1540.0;346.0;baixa
BA;PALMAS DE MONTE ALTO;municipio;11880.0;;5989.0;4983.0;4281.0;baixa
BA;PINDAI;municipio;15200.0;;5929.0;6667.0;4381.0;baixa
BA;PIRIPA;municipio;4398.0;;2264.0;1669.0;1435.0;baixa
BA;PRESIDENTE JAN IO QUADROS;municipio;;;;;;baixa
BA;HOMENS MULHERES HOMENS MULHERES;microrregiao;;;;;;baixa
BA;TOTAL TOTAL TOTAL TOTAL;total;;;;;;baixa
BA;TOTAL TOTAL;total;;;;;;baixa
BA;MORRO;municipio;1042.0;3960.0;3868.0;991.0;941.0;baixa
BA;PRESIDENTE OUTRA;municipio;463.0;1823.0;820.0;118.0;118.0;baixa
BA;SOUTO SOARES;municipio;299.0;1130.0;129.0;290.0;290.0;baixa
BA;UIBAI;municipio;;;622.0;;22.0;baixa
BA;CHAPADA DIAMANTINA MERIDIONAL;municipio;6574.0;23986.0;23685.0;7703.0;7495.0;baixa
BA;ABAIRA;municipio;;;337.0;;42.0;baixa
BA;AGUA QUENTE;municipio;55.0;309.0;1413.0;92.0;92.0;baixa
BA;ANDARA(;municipio;;;91.0;;126.0;baixa
BA;BARRA DA ESTIVA;municipio;57.0;325.0;267.0;1248.0;1165.0;baixa
BA;BONINAL;municipio;58.0;16.0;;;;baixa
BA;BOQUIRA;municipio;;;167.0;;11.0;baixa
BA;BOTUPORÂ;municipio;;;146.0;;40.0;baixa
BA;BROTAS DE MACAUBAS;municipio;61.0;434.0;432.0;60.0;59.0;baixa
BA;CONTENDAS DO SI NCORA;municipio;62.0;122.0;405.0;402.0;224.0;baixa
BA;IBICOARA;municipio;;;21.0;;748.0;baixa
BA;IBIPITANGA;municipio;;;124.0;;23.0;baixa
BA;IBIT(ARA;municipio;;;1425.0;;236.0;baixa
BA;IPUPIARA;municipio;;;25.0;;;baixa
BA;IRAMAIA;municipio;;;126.0;;304.0;baixa
BA;IRAQUARA;municipio;;;391.0;;275.0;baixa
BA;ITAETE;municipio;;;749.0;;79.0;baixa
BA;ITUAÇU;municipio;;;797.0;;579.0;baixa
