_uf;_label;_level;estab_total;num_pessoas_total;estab_menos_5;num_pessoas_menos_5;estab_5_a_10;num_pessoas_5_a_10;confianca
BA;SANTA RITA DE CASSIA;municipio;3534.0;18147.0;2016.0;5216.0;1174.0;7564.0;baixa
BA;SÃO OESIDERIO;municipio;3123.0;12536.0;2326.0;5122.0;606.0;3734.0;baixa
BA;TABOCAS DO BREJO VELHO;municipio;2182.0;7359.0;1655.0;3659.0;461.0;2944.0;baixa
BA;CHAPADÕES DO RIO CORRENTE;municipio;18907.0;84099.0;569.0;27523.0;6051.0;39071.0;baixa
BA;CANAPOLIS;municipio;1530.0;5143.0;1156.0;2396.0;325.0;2099.0;baixa
BA;cocos;municipio;970.0;10419.0;5.0;2749.0;774.0;5006.0;baixa
BA;CORIBE;municipio;2224.0;9574.0;1437.0;3355.0;642.0;4060.0;baixa
BA;CORRENT I NA;municipio;3947.0;21414.0;1937.0;5121.0;1545.0;10250.0;baixa
BA;SANTA MARIA DA VITORIA;municipio;3368.0;16387.0;1821.0;4515.0;315.0;;baixa
BA;SANTANA;municipio;2985.0;12803.0;1827.0;4443.0;1002.0;6403.0;baixa
BA;SERRA DOURADA;municipio;2883.0;2386.0;4944.0;448.0;2742.0;;baixa
BA;BAIXO-MEDI O SÃO FRANCISCO;municipio;39076.0;165747.0;25232.0;62103.0;;73914.0;baixa
BA;BARRA;municipio;7527.0;33963.0;4799.0;12056.0;2218.0;14136.0;baixa
BA;CAMPO ALEGRE DE LOURDES;municipio;3659.0;15317.0;2331.0;5532.0;1117.0;7194.0;baixa
BA;CASA NOVA;municipio;6896.0;31120.0;4090.0;10929.0;;;baixa
BA;IBOTIRAMA;municipio;1523.0;6214.0;987.0;2386.0;467.0;3004.0;baixa
BA;MORPARA;municipio;982.0;5681.0;556.0;534.0;303.0;934.0;baixa
BA;PI LÂO ARCADO;municipio;474.0;22605.0;;;;;baixa
BA;REMANSO;municipio;3960.0;17597.0;2297.0;5570.0;1403.0;9107.0;baixa
BA;SENTO SE;municipio;5025.0;19541.0;3502.0;8179.0;1270.0;7991.0;baixa
BA;XIOUE-XIOUE;municipio;4030.0;13709.0;3127.0;7110.0;780.0;4769.0;baixa
BA;MEOIO SÃO FRANCISCO;municipio;17214.0;82303.0;10397.0;24745.0;5394.0;34900.0;baixa
BA;BOM JESUS DA LAPA;municipio;8635.0;33080.0;5007.0;13442.0;227.0;14065.0;baixa
BA;CARINHANHA;municipio;2505.0;16943.0;799.0;2172.0;1230.0;8411.0;baixa
BA;MALHADA;municipio;2728.0;17895.0;1500.0;3785.0;846.0;5478.0;baixa
BA;PARATINGA;municipio;3346.0;14385.0;;;;;baixa
BA;CHAPADA DIAMANTINA SETENTRIONAL;municipio;32426.0;133323.0;22691.0;48463.0;7340.0;41055.0;baixa
BA;AO BARRA;mesorregiao;1903.0;5700.0;1607.0;3794.0;274.0;1640.0;baixa
BA;CAFARNAUM;municipio;2364.0;16000.0;1048.0;2835.0;873.0;750.0;baixa
BA;CANARANA;municipio;3791.0;14999.0;2605.0;5976.0;969.0;6194.0;baixa
BA;CENTRAL;municipio;1564.0;4965.0;1207.0;2434.0;305.0;1905.0;baixa
BA;GENTIO DO OURO;municipio;480.0;6772.0;2119.0;4140.0;304.0;1901.0;baixa
BA;IBIPEBA;municipio;275.0;40172.0;2108.0;3244.0;140.0;867.0;baixa
BA;IBITITA;municipio;2344.0;66.0;1844.0;3792.0;386.0;2483.0;baixa
BA;IRECE;municipio;6749.0;33185.0;4328.0;9250.0;698.0;10976.0;baixa
BA;.JUSSARA;municipio;1130.0;3005.0;936.0;1432.0;152.0;964.0;baixa
BA;MORRO DO CHAPEU;municipio;698.0;16751.0;1228.0;3397.0;1045.0;6883.0;baixa
BA;PRESIDENTE OUTRA;municipio;1473.0;6131.0;1004.0;363.0;2263.0;;baixa
BA;CHAPADA DIAMANTINA MERIDIONAL;microrregiao;65612.0;252965.0;47057.0;;110035.0;15670.0;baixa
BA;ABAIRA;mesorregiao;1550.0;5243.0;1165.0;;2614.0;347.0;baixa
BA;AGUA QUENTE;municipio;1002.0;5480.0;497.0;;1426.0;397.0;baixa
BA;ANDARA(;municipio;2908.0;11224.0;2128.0;;4942.0;641.0;baixa
