_uf;_label;_level;estab_proprietario;area_ha_proprietario;estab_arrendatario;area_ha_arrendatario;estab_parceiro;area_ha_parceiro;estab_ocupante;area_ha_ocupante;confianca
AM;CAREIRO;municipio;2873.0;;122390.0;;;;;;baixa
AM;IRANDUBA;municipio;1588.0;;4401.0;;;7.0;;;baixa
AM;ITACOATIARA;municipio;2311.0;;123833.0;;;22.0;;;baixa
AM;ITAPIRANGA;municipio;215.0;;20370.0;;;;;;baixa
AM;MANACAPURU;municipio;3011.0;;69246.0;;;81.0;;;baixa
AM;MANAQUIRI;municipio;1158.0;;26543.0;;;;;;baixa
AM;MAUES;municipio;2860.0;;181873.0;;;;;;baixa
AM;NHAMUNOA;municipio;2710.0;;57743.0;;;24.0;;;baixa
AM;NOVA OLINDA DO NORTE;municipio;2188.0;;60669.0;;;;;;baixa
AM;PARINTINS;municipio;892.0;;202080.0;;;7.0;;;baixa
AM;PRESIDENTE FIGUEIREDO;municipio;271.0;;35609.0;;;2.0;;;baixa
AM;RIO PRETO DA EVA;municipio;258.0;;133071.0;;;;;;baixa
AM;SÃO SEBASTIÃO DO UATUMÃ;municipio;748.0;;29493.0;;;;;;baixa
AM;SILVES;municipio;731.0;;144201.0;;;;;;baixa
AM;URUCARA;municipio;953.0;;45751.0;;;;;;baixa
AM;URUCURITUBA;municipio;1282.0;;35484.0;;;3.0;;;baixa
AP;TOTAIS;total;1181.0;910230.0;8067.0;220.0;3625.0;289502.0;;;alta
AP;AMAPA;mesorregiao;1181.0;910230.0;8067.0;220.0;3625.0;289502.0;;;alta
AP;MACAPA;microrregiao;921.0;505964.0;8067.0;200.0;2737.0;178164.0;;;alta
AP;MACAPA;municipio;841.0;471521.0;7859.0;100.0;1650.0;120447.0;;;alta
AP;MAZAGÃO;municipio;80.0;34443.0;208.0;100.0;1087.0;57717.0;;;alta
AP;AMAPA E OIAPOQUE;microrregiao;260.0;404266.0;;20.0;888.0;111338.0;;;alta
AP;AMAPA;municipio;215.0;392810.0;;20.0;417.0;77476.0;;;alta
AP;CALÇOENE;municipio;12.0;8008.0;;;205.0;31619.0;;;alta
AP;OIAPOQUE;municipio;33.0;3447.0;;;266.0;2242.0;;;alta
BA;TOTAIS;total;625929.0;32479343.0;7525.0;104309.0;8715.0;83321.0;96837.0;764429.0;media
BA;OESTE BAIANO;mesorregiao;240229.0;16064822.0;2442.0;35420.0;5971.0;49366.0;51620.0;466506.0;media
BA;CHAPADÕES DO ALTO RIO GRANDE;mesorregiao;17955.0;4226150.0;;425.0;763.0;5020.0;5028.0;115175.0;media
BA;ANGICAL;microrregiao;1443.0;169959.0;;27.0;41.0;65.0;455.0;1182.0;media
BA;BAIANOPOLIS;microrregiao;1265.0;120559.0;;;;;55.0;717.0;media
BA;BARREIRAS;microrregiao;1444.0;490071.0;;30.0;60.0;1137.0;533.0;15889.0;media
BA;BREJOLANDIA;microrregiao;1630.0;173369.0;;20.0;23.0;248.0;38.0;357.0;media
BA;CATOLANDIA;microrregiao;525.0;43472.0;;;41.0;56.0;95.0;719.0;media
BA;COTEGIPE;microrregiao;1823.0;626048.0;;;;213.0;89.0;1649.0;media
BA;CRISTOPOLIS l;microrregiao;1297.0;61775.0;;79.0;20.0;39.0;243.0;2403.0;media
BA;FORMOSA DO RIO PRETO;microrregiao;1010.0;1042412.0;;219.0;;1350.0;536.0;58720.0;media
BA;RIACHÂO DAS NEVES;microrregiao;1120.0;249558.0;;;418.0;1341.0;702.0;2757.0;media
BA;SANTA RITA DE CASS]A;microrregiao;2618.0;439931.0;;;;;915.0;19263.0;media
