_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;confianca
BA;CRAVOLANDIA;municipio;;894.0;315.0;280.0;;;;media
BA;IRA JUBA;municipio;;1843.0;767.0;622.0;;;;media
BA;(TAGI;municipio;516.0;329.0;258.0;;;;;media
BA;ITAOUARA;municipio;;145.0;175.0;140.0;;;;media
BA;ITIRUÇU;municipio;;848.0;392.0;363.0;;;;media
BA;.JAGUAQUARA;municipio;2431.0;2422.0;2249.0;;;;;media
BA;JEQUIE;municipio;;8659.0;6571.0;5344.0;;;;media
BA;JIQUIRIÇA;municipio;;229.0;40.0;12.0;;;;media
BA;.JITAUNA;municipio;;431.0;280.0;160.0;;;;media
BA;LAFAIETE COUTINHO;municipio;2872.0;2243.0;1697.0;;;;;media
BA;LAJE;municipio;897.0;413.0;163.0;;;;;media
BA;MARACAS;municipio;;3654.0;1564.0;1081.0;;;;media
BA;MARCIONILIO SOUZA;municipio;2368.0;989.0;794.0;;;;;media
BA;MILAGRES;municipio;;809.0;303.0;224.0;;;;media
BA;MUTUIPE;municipio;;521.0;198.0;71.0;;;;media
BA;NOVA ITARANA;municipio;;87.0;36.0;21.0;;;;media
BA;PLANAL T (NO;municipio;2050.0;688.0;367.0;;;;;media
BA;SANTA INES;municipio;;1224.0;605.0;584.0;;;;media
BA;SÃO MIGUEL DAS MATAS;municipio;608.0;363.0;208.0;;;;;media
BA;UBAIRA;municipio;;1893.0;1102.0;908.0;;;;media
BA;PLANALTO OE CONQUISTA;mesorregiao;59357.0;36079.0;27776.0;161.0;354.0;;;media
BA;ANAGE;mesorregiao;3876.0;1523.0;637.0;;819.0;;;media
