_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;confianca
BA;COTEGIPE;municipio;7761.0;3035.0;735.0;553.0;1264.0;;media
BA;CRISTOPOLIS;municipio;4011.0;1617.0;295.0;504.0;696.0;;media
BA;FORMOSA DO RIO PRETO;municipio;4799.0;2270.0;621.0;470.0;929.0;;media
BA;RIACHÂO DAS NEVES;municipio;6274.0;4043.0;295.0;127.0;738.0;;media
BA;SANTA RITA DE CASSIA;municipio;18801.0;9455.0;2002.0;1300.0;3558.0;;media
BA;SÃO OESIDERIO;municipio;5349.0;2042.0;640.0;575.0;1289.0;;media
BA;TABDCAS DO BREJO VELHO;municipio;3981.0;1831.0;481.0;466.0;806.0;;media
BA;CHAPADÕES DO RIO CORRENTE;municipio;66201.0;33580.0;7228.0;6140.0;10910.0;;media
BA;CANAPOLIS;municipio;3049.0;1463.0;188.0;486.0;430.0;;media
BA;cocos;municipio;6401.0;3366.0;947.0;491.0;643.0;;media
BA;CORIBE;municipio;11575.0;7195.0;1150.0;670.0;801.0;;media
BA;CORRENT I NA;municipio;17009.0;6925.0;2202.0;1151.0;2411.0;;media
BA;SANTA MARIA DA VITORIA;municipio;9980.0;3809.0;1035.0;1110.0;2006.0;;media
BA;SANTANA;municipio;10337.0;5199.0;834.0;370.0;2123.0;;media
BA;SERRA DOURADA;municipio;7850.0;5623.0;872.0;862.0;2496.0;;media
BA;BAIXO-MEDI O SÃO FRANCISCO;municipio;174911.0;118169.0;24041.0;4717.0;23022.0;;media
BA;BARRA;municipio;20422.0;8710.0;2335.0;1204.0;854.0;;media
BA;CAMPO ALEGRE DE LOURDES;municipio;18811.0;4329.0;3117.0;581.0;2251.0;;media
BA;CASA NOVA;municipio;64868.0;45314.0;7566.0;523.0;9105.0;;media
BA;IBOTIRAMA;municipio;2008.0;968.0;276.0;404.0;608.0;;media
BA;MORPARA;municipio;879.0;304.0;64.0;73.0;92.0;;media
BA;PI LÂO ARCADO;municipio;23952.0;16544.0;3670.0;686.0;278.0;;media
BA;REMANSO;municipio;22303.0;18283.0;2891.0;324.0;2657.0;;media
BA;SENTO SE;municipio;10600.0;5862.0;1555.0;242.0;345.0;;media
BA;XIOUE-XIOUE;municipio;11068.0;7855.0;2567.0;680.0;832.0;;media
BA;MEDIO SÃO FRANCISCO;municipio;43088.0;4599.0;2182.0;7463.0;3104.0;;media
BA;BOM .JESUS DA LAPA;municipio;10887.0;4783.0;1047.0;529.0;2008.0;;media
BA;CARINHANHA;municipio;16832.0;8269.0;1726.0;663.0;2647.0;;media
BA;MALHADA;municipio;4971.0;2870.0;963.0;343.0;1350.0;;media
BA;PARATINGA;municipio;10398.0;4754.0;863.0;647.0;1458.0;;media
BA;CHAPADA DIAMANTINA SETENTRIONAL;municipio;40484.0;19526.0;3868.0;3961.0;7277.0;;media
BA;BARRA DO MENDES;municipio;4994.0;3088.0;192.0;53.0;1521.0;;media
BA;CAF ARNAUM;municipio;3827.0;1409.0;226.0;168.0;363.0;;media
BA;CANARANA;municipio;7235.0;2986.0;702.0;889.0;1172.0;;media
BA;CENTRAL;municipio;1306.0;912.0;267.0;84.0;226.0;;media
BA;GENTIO DO OURO;municipio;1149.0;594.0;136.0;20.0;177.0;;media
BA;IBIPEBA;municipio;1073.0;409.0;76.0;154.0;214.0;;media
BA;IBITITA;municipio;1486.0;592.0;49.0;158.0;94.0;;media
BA;IRECE;municipio;498.0;3621.0;936.0;674.0;1156.0;;media
BA;JUSSARA;municipio;482.0;294.0;74.0;95.0;69.0;;media
BA;MORRO DO CHAPEU;municipio;3569.0;1614.0;302.0;325.0;556.0;;media
BA;PRESIDENTE OUTRA;municipio;2637.0;1739.0;431.0;352.0;573.0;;media
BA;SOUTO SOARES;municipio;723.0;911.0;307.0;349.0;467.0;;media
BA;UIBAI SOS;municipio;1357.0;170.0;640.0;689.0;30.0;;media
BA;CHAPADA DIAMANTINA MERIDIONAL;mesorregiao;131030.0;;66533.0;;19496.0;;media
BA;AGUA QUENTE;microrregiao;1918.0;;971.0;;230.0;;media
BA;ANDARA(;microrregiao;4461.0;;2591.0;;525.0;;media
BA;BARRA DA ESTIVA;microrregiao;830.0;;222.0;;27.0;;media
BA;BONINAL;microrregiao;1850.0;;1007.0;;289.0;;media
BA;BOCUIRA;microrregiao;11454.0;;6751.0;;2351.0;;media
BA;BOTUPORÂ;microrregiao;12066.0;;6212.0;;2129.0;;media
BA;BROTAS DE MACAUBAS;microrregiao;3414.0;;935.0;;294.0;;media
BA;CONTENDAS;microrregiao;290.0;;486.0;;183.0;;media
BA;I BICOARA;microrregiao;482.0;;101.0;;21.0;;media
BA;IBIPITANGA e oos;microrregiao;6140.0;2772.0;845.0;544.0;581.0;;media
BA;IBITIARA;microrregiao;9591.0;;3959.0;;810.0;;media
BA;IPUPIARA;microrregiao;973.0;;549.0;;100.0;;media
BA;I RAMA IA;microrregiao;461.0;;795.0;;200.0;;media
BA;I RAOUARA;microrregiao;2208.0;;836.0;;280.0;;media
BA;ITAETE;microrregiao;1569.0;;914.0;;213.0;;media
BA;I TUAÇU;microrregiao;3212.0;;1535.0;;228.0;;media
BA;JUSSIAPE;microrregiao;1130.0;;309.0;;29.0;;media
BA;LENÇOIS;microrregiao;752.0;;589.0;;141.0;;media
BA;MACAUBAS;microrregiao;13315.0;;8014.0;;2351.0;;media
BA;MUCUGE;microrregiao;1146.0;;406.0;;142.0;;media
BA;OLIVEIRA DOS BREJINHOS;microrregiao;9887.0;;6254.0;;1929.0;;media
BA;PALMEIRAS;microrregiao;742.0;;325.0;;40.0;;media
BA;PARAMIRIM;microrregiao;10255.0;;5586.0;;947.0;;media
BA;PIATÃ;microrregiao;3113.0;;835.0;;297.0;;media
BA;RIO DE CONTAS;microrregiao;3985.0;;1868.0;;217.0;;media
BA;RIO DO PIRES;microrregiao;4852.0;;2307.0;;1155.0;;media
BA;SEABRA;microrregiao;3612.0;;1549.0;;313.0;;media
BA;TANHAÇU;microrregiao;7864.0;;2693.0;;971.0;;media
BA;UT I NGA;microrregiao;3029.0;;912.0;;118.0;;media
BA;WAGNER;microrregiao;623.0;;313.0;;51.0;;media
BA;SERRA GERAL DA BAHIA;mesorregiao;164924.0;;83567.0;;23348.0;;alta
BA;ARACATU;microrregiao;10056.0;;6737.0;;2218.0;;alta
BA;BRUMADO;microrregiao;10439.0;;5882.0;;757.0;;alta
BA;CACULE;microrregiao;5072.0;;2542.0;;454.0;;alta
BA;CAETITE;microrregiao;16508.0;;6800.0;;2296.0;;alta
BA;CANDIBA;microrregiao;3296.0;;391.0;;344.0;;alta
BA;CONDEUBA;microrregiao;8340.0;;5079.0;;1722.0;;alta
BA;CORDEIROS;microrregiao;2493.0;;1363.0;;435.0;;alta
BA;DOM BAS ILI;microrregiao;3501.0;;1618.0;;302.0;;alta
BA;GUANAMBI;microrregiao;5147.0;;2384.0;;671.0;;alta
BA;IBIASSUCE;microrregiao;4401.0;;1789.0;;668.0;;alta
BA;IGAPORÃ;microrregiao;2161.0;;653.0;;168.0;;alta
BA;JACARACI;microrregiao;7911.0;;4088.0;;1014.0;;alta
BA;L(CINIO DE ALMEIDA;microrregiao;4639.0;;2214.0;;751.0;;alta
BA;LIVRAMENTO DO BRUMAOO;microrregiao;11912.0;;7696.0;;1373.0;;alta
BA;MALHADA DE PEDRAS;microrregiao;4162.0;;2124.0;;327.0;;alta
BA;MORTUGABA;microrregiao;4775.0;;2526.0;;793.0;;alta
BA;PALMAS DE MONTE ALTO;microrregiao;2492.0;;1336.0;;360.0;;alta
BA;PINDAl;microrregiao;6074.0;;2484.0;;869.0;;alta
BA;PIRIPA;microrregiao;4024.0;;2467.0;;337.0;;alta
BA;PRESIDENTE JANIO QUADROS;microrregiao;9996.0;;5277.0;;1291.0;;alta
BA;RIACHO DE SANTANA;microrregiao;6833.0;;2419.0;;500.0;;alta
BA;RIO DO ANTONIO;microrregiao;3619.0;;1352.0;;274.0;;alta
BA;SEBASTIÃO LARANJEIRAS;microrregiao;1742.0;;621.0;;145.0;;alta
BA;TREMEDAL;microrregiao;21383.0;;11341.0;;3862.0;;alta
BA;URANDI;microrregiao;3948.0;;1384.0;;417.0;;alta
BA;SENHOR;mesorregiao;34455.0;;18958.0;;5014.0;;media
BA;ANTONIO GONÇALVES;microrregiao;302.0;;56.0;;15.0;;media
BA;LESTE BAIANO;mesorregiao;592112.0;304819.0;72439.0;115987.0;193939.0;;media
BA;PIEMONTE DA DIAMANTINA;microrregiao;74653.0;39560.0;9294.0;10109.0;21512.0;;alta
BA;BAIXA GRANDE;municipio;6396.0;4117.0;849.0;759.0;1972.0;;alta
BA;BOA VISTA DO TUPIM;municipio;4167.0;2381.0;718.0;401.0;501.0;;alta
BA;CAEM;municipio;1659.0;715.0;204.0;269.0;296.0;;alta
BA;IBIQUERA;municipio;1226.0;744.0;45.0;68.0;126.0;;alta
BA;ITABERABA;municipio;5882.0;2567.0;533.0;701.0;680.0;;alta
BA;JACOBINA;municipio;11334.0;4527.0;1166.0;1756.0;2486.0;;alta
BA;LAJEDINHO;municipio;1277.0;630.0;162.0;181.0;309.0;;alta
BA;MACAJUBA;municipio;2714.0;1504.0;274.0;255.0;722.0;;alta
BA;MAIRI;municipio;11076.0;7424.0;1801.0;1889.0;4204.0;;alta
BA;MIGUEL CALMON;municipio;2706.0;1475.0;364.0;603.0;657.0;;alta
BA;MUNDO NOVO;municipio;3744.0;1328.0;291.0;312.0;1087.0;;alta
BA;PIRITIBA;municipio;3145.0;1813.0;198.0;427.0;954.0;;alta
BA;RUV BARBOSA;municipio;6141.0;3523.0;511.0;677.0;1413.0;;alta
BA;SERROLANDIA;municipio;9465.0;4920.0;1383.0;1345.0;2546.0;;alta
BA;TAPIRAMUTA;municipio;1181.0;633.0;589.0;187.0;2735.0;;alta
BA;VARZEA DO POÇO;municipio;2540.0;1259.0;206.0;279.0;824.0;;alta
BA;SERTÃO DE CANUDOS;microrregiao;100974.0;60017.0;21194.0;10939.0;23787.0;;media
BA;CANSANÇÃO;municipio;9493.0;5101.0;2662.0;1484.0;2861.0;;media
BA;EUCLIDES OA CUNHA;municipio;9433.0;4205.0;1217.0;1335.0;2267.0;;media
BA;ITIUBA;municipio;13552.0;9285.0;2224.0;2190.0;5117.0;;media
BA;MONTE SANTO;municipio;30047.0;2346.0;9617.0;2040.0;5991.0;;media
BA;QUEIMADAS;municipio;8001.0;2834.0;689.0;1009.0;1058.0;;media
BA;QUIJINGUE;municipio;8505.0;3939.0;1376.0;1292.0;2705.0;;media
BA;TUCANO;municipio;6556.0;2857.0;682.0;770.0;1136.0;;media
BA;SERRINHA;microrregiao;66561.0;28028.0;5822.0;11428.0;19310.0;;media
BA;ARACI;municipio;7293.0;3046.0;409.0;1044.0;1238.0;;media
BA;BIRITINGA;municipio;2729.0;1139.0;179.0;516.0;471.0;;media
BA;CANDEAL;municipio;2291.0;1234.0;295.0;372.0;894.0;;media
BA;CONCEIÇÃO DO COITE;municipio;7236.0;3132.0;466.0;1365.0;1765.0;;media
BA;ICHU;municipio;2149.0;1347.0;225.0;484.0;602.0;;media
BA;LAMARÃO;municipio;3079.0;1311.0;143.0;410.0;1299.0;;media
BA;RETIROLANDIA;municipio;1725.0;819.0;179.0;496.0;489.0;;media
BA;RIACHÃO;municipio;20477.0;7773.0;1423.0;2531.0;7430.0;;media
BA;SANTALUZ;municipio;3049.0;1625.0;644.0;661.0;54.0;;media
BA;SERRINHA;municipio;9335.0;3652.0;1088.0;2536.0;390.0;;media
BA;TEOFILANDIA;municipio;5126.0;148.0;474.0;546.0;1117.0;;media
BA;VALENTE;municipio;72.0;802.0;297.0;467.0;561.0;;media
BA;FEIRA DE SANTANA;mesorregiao;;111064.0;66453.0;;12476.0;;media
BA;AGUA FRIA;microrregiao;3094.0;1547.0;660.0;1060.0;501.0;;media
BA;ANGUERA;microrregiao;;905.0;606.0;;114.0;;media
BA;ANTONIO CARDOSO;microrregiao;;3379.0;1765.0;;276.0;;media
BA;CASTRO ALVES;microrregiao;;17930.0;11511.0;;1300.0;;media
BA;CORAÇÃO DE MARIA;microrregiao;;3830.0;1759.0;;637.0;;media
BA;ELISIO MEDRADO;microrregiao;;1786.0;581.0;;244.0;;media
BA;FEIRA DE SANTANA;microrregiao;;17355.0;9078.0;;2203.0;;media
BA;IAÇU;microrregiao;;2974.0;1871.0;;238.0;;media
BA;IPECAETA;microrregiao;;5253.0;4189.0;;717.0;;media
BA;IPIRA;microrregiao;;18678.0;11357.0;;1987.0;;media
BA;IRARA;microrregiao;;4321.0;881.0;;510.0;;media
BA;PEDRÂO;microrregiao;;1537.0;39.0;;200.0;;media
BA;SANTANOOLIS;microrregiao;;4931.0;2812.0;;508.0;;media
BA;SANTA TERESINHA;microrregiao;;4274.0;2354.0;;72.0;;media
BA;SANTO ESTEVÂO;microrregiao;;9954.0;7415.0;;1285.0;;media
BA;SERRA PRETA;microrregiao;;2807.0;2477.0;;335.0;;media
BA;TANQUINHO;microrregiao;;1941.0;1147.0;;238.0;;media
BA;JEQUIE;mesorregiao;;23347.0;8595.0;;1757.0;;media
BA;AIOUARA;microrregiao;;59.0;19.0;;;;media
BA;AMARGOSA;microrregiao;2390.0;137.0;812.0;726.0;;;media
BA;BREJÕES;microrregiao;;536.0;80.0;;20.0;;media
BA;CRAVOLANDIA;microrregiao;;16.0;;;;;media
